title,kicker,image,link
Hawaii Senate approves bill to legalize online sports betting and fantasy sports,HEADS BACK TO HOUSE FOR CONCURRENCE,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/03/06/73224/1741271483-legislatura-hawaii.jpg,https://www.yogonet.com/international/news/2025/04/09/100988-hawaii-senate-approves-bill-to-legalize-online-sports-betting-and-fantasy-sports
Atlantic County reaches $15 million settlement in casino PILOT lawsuit,2021 LEGAL DISPUTE COMES TO AN END,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/08/12/32428/1625355424-vista-atlantic-city-12.jpg,https://www.yogonet.com/international/news/2025/04/09/100990-atlantic-county-reaches-15-million-settlement-in-casino-pilot-lawsuit
"First day of BiS SiGMA Americas highlights new betting legal framework, optimism for the sector's future",EVENT CONTINUES THIS WEDNESDAY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74418/1744207271-bis-sigma-2025-3-04-pasillo-generica.jpg,https://www.yogonet.com/international/news/2025/04/09/100998-first-day-of-bis-sigma-americas-highlights-new-betting-legal-framework-optimism-for-the-sector-39s-future
Oklahoma sports betting bill pulled from agenda hours before key vote in state legislature,MOBILE WAGERING PLAN DELAYED AGAIN,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/01/06/71221/1736186263-capitolio-oklahoma-02.jpg,https://www.yogonet.com/international/news/2025/04/08/100898-oklahoma-sports-betting-bill-pulled-from-agenda-hours-before-key-vote-in-state-legislature
MGM Resorts eyeing Las Vegas revenue boost from fee increases,INCREASED PARKING FEES AND ATM CHARGES,https://imagenesyogonet.b-cdn.net/data/imagenes/2021/09/21/39299/1633371931-mgm-grand-hotel-casino-vegas-05.jpg,https://www.yogonet.com/international/news/2025/04/08/100873-mgm-resorts-eyeing-las-vegas-revenue-boost-from-fee-increases
PENN Entertainment launches stand-alone online casino app theScore Casino in Ontario,AVAILABLE ON ANDROID AND IOS,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74362/1744135959-penn-entertainment-thescore-ontario.jpg,https://www.yogonet.com/international/news/2025/04/09/100902-penn-entertainment-launches-standalone-online-casino-app-thescore-casino-in-ontario
Brazil establishes oversight team to monitor sports betting platforms for legal compliance,PUBLISHED ON 7 APRIL,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/04/02/63048/1712068638-brazil-keyboard-flag.jpg,https://www.yogonet.com/international/news/2025/04/09/100909-brazil-establishes-oversight-team-to-monitor-sports-betting-platforms-for-legal-compliance
Rivalry announces evaluation of strategic alternatives with XST Capital Group,TO MAXIMIZE STAKEHOLDER VALUE,https://imagenesyogonet.b-cdn.net/data/imagenes/2023/05/31/54947/1685540507-rivalry-esports-betting-app-ontario.jpg,https://www.yogonet.com/international/news/2025/04/08/100886-rivalry-announces-evaluation-of-strategic-alternatives-with-xst-capital-group
Las Vegas’ The Strat adds more player-friendly games to casino offering,MORE 3:2 BLACKJACK TABLES,https://imagenesyogonet.b-cdn.net/data/imagenes/2022/08/08/48011/1659969354-the-strat-las-vegas.jpg,https://www.yogonet.com/international/news/2025/04/08/100872-las-vegas-the-strat-adds-moreplayerfriendly-games-to-casino-offering
BMM Testlabs promotes company veteran Daniel Magarinos to Senior Director of Gaming – Latam,WITH THE COMPANY SINCE 2018,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74355/1744123432-bmm-testlabs-promotes-daniel-magari%C3%B1os-senior-director-gaming-latam.jpg,https://www.yogonet.com/international/news/2025/04/09/100890-bmm-testlabs-promotes-company-veteran-daniel-magarinos-to-senior-director-of-gaming--latam
Louisiana bill targeting social casinos sparks backlash from sweepstakes gaming operators,SENATE BILL 181,https://imagenesyogonet.b-cdn.net/data/imagenes/2020/05/06/31160/1625350382-legislatura-louisiana-state-capitol-building-usa.jpg,https://www.yogonet.com/international/news/2025/04/08/100883-louisiana-bill-targeting-social-casinos-sparks-backlash-from-sweepstakes-gaming-operators
Illinois bill seeks to classify compulsive gambling as substance abuse disorder,TO EXPAND RESOURCES FOR TREATMENT,https://imagenesyogonet.b-cdn.net/data/imagenes/2019/05/10/25284/1625326804-legislatura-illinois-state-capitol-usa.jpg,https://www.yogonet.com/international/news/2025/04/08/100879-illinois-bill-seeks-to-classify-compulsive-gambling-as-substance-abuse-disorder
Novomatic successfully hosted its exclusive Novomatic Experience event in Argentina,"TOOK PLACE ON MARCH 19, BUENOS AIRES",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74359/1744135907-novomatic-experiencia-sagse-latam-2025-04.jpg,https://www.yogonet.com/international/news/2025/04/09/100901-novomatic-successfully-hosted-its-exclusive-novomatic-experience-event-in-argentina
Atlantic City's Ocean Casino partners with restauranteur Stephen Starr to launch two new eateries,TO OPEN THIS SUMMER,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74341/1744045031-stephen-starr-starr-restaurants.jpg,https://www.yogonet.com/international/news/2025/04/08/100787-atlantic-city-39s-ocean-casino-partners-with-restauranteur-stephen-starr-to-launch-two-new-eateries
MARE BALTICUM Gaming & TECH Summit 2025's previews new format with feature multi-room setup,"MAY 27 - 28, VILNIUS",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/07/74333/1744039730-mare-balticum-gaming-tech-summit-generica.jpg,https://www.yogonet.com/international/news/2025/04/08/100779-mare-balticum-gaming-tech-summit-2025-39s-previews-new-format-with-feature-multiroom-setup
Gaming in Spain Conference confirms DGOJ's Mikel Arana as keynote speaker,"JUNE 26, MADRID",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74375/1744202315-gaming-in-spain-2025-madrid.jpg,https://www.yogonet.com/international/news/2025/04/09/100984-gaming-in-spain-conference-confirms-dgoj-39s-mikel-arana-as-keynote-speaker
"""In the coming years, Argentina will be one of EGT’s main focuses within the LATAM region""","CHRISTIAN GRAFFIGNA, DIRECTOR OF EGT ARGENTINA",https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/09/74460/1744209125-christian-graffigna-director-egt-argentina.jpg,https://www.yogonet.com/international/news/2025/04/09/101004--34in-the-coming-years-argentina-will-be-one-of-egts-main-focuses-within-the-latam-region-34
Thailand postpones casino legalization debate following coalition government talks,CASINO BILL VOTE DELAYED,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/08/20/67073/1724168845-paetongtarn-shinawatra-primera-ministro-tailandia.jpg,https://www.yogonet.com/international/news/2025/04/08/100889-thailand-postpones-casino-legalization-debate-following-coalition-government-talks
Cyprus parliament approves casino exemption from cash transaction limit despite money laundering concerns,CRITICS WARN OF POTENTIAL EU BACKLASH,https://imagenesyogonet.b-cdn.net/data/imagenes/2024/11/27/70392/1732716595-apuestas-juego-casino-generica-04.jpg,https://www.yogonet.com/international/news/2025/04/08/100793-cyprus-parliament-approves-casino-exemption-from-cash-transaction-limit-despite-money-laundering-concerns
Gainr Group announces launch of new sports betting syndicate,ADMINISTERED BY SUNTERA GLOBAL,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/08/74350/1744116714-theo-koumis-ceo-founder-gainr-01.jpg,https://www.yogonet.com/international/news/2025/04/09/100874-gainr-group-announces-launch-of-new-sports-betting-syndicate
AC Milan teams up with Brazilian betting operator Reals for regional partnership in Latin America,TO INCREASE AC MILAN'S BRAND VISIBILITY,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/04/04/74285/1743771931-reals-sponsor-milan-02.jpg,https://www.yogonet.com/international/news/2025/04/09/100794-ac-milan-teams-up-with-brazilian-betting-operator-reals-for-regional-partnership-in-latin-america
"Atlantic City casino profits drop 9.3% to $675.1 million in 2024 amid rising costs, sluggish demand","CAESARS, HARD ROCK POST PROFIT GAINS",https://imagenesyogonet.b-cdn.net/data/imagenes/2022/11/18/50654/1668799999-vista-atlantic-city-casinos.jpg,https://www.yogonet.com/international/news/2025/04/08/100875-atlantic-city-casino-profits-drop-93-to-6751-million-in-2024-amid-rising-costs-sluggish-demand
